date,morningWeightKg,eveningWeightKg,chestCm,waistCm,hipsCm
2026-04-27,83.45,83.85,,,
2026-04-28,83.7,84.75,,,
2026-04-29,83.5,83.6,,,
2026-04-30,82.85,82.85,,,
2026-05-01,82.95,84.3,,,
2026-05-02,83.55,83.2,,,
2026-05-03,82.8,83.65,,,
2026-05-04,82.85,83.15,97,99,105
2026-05-05,82.2,82.85,,,
2026-05-06,82.1,83,,,
2026-05-07,82.45,82.55,,,
2026-05-08,82.2,83.15,,,
2026-05-09,82.3,83.6,,,
2026-05-10,82.55,,,,
2026-05-11,82.75,83.7,,,
2026-05-12,82.95,82.65,,,
2026-05-13,81.7,82.7,95,96,104
2026-05-14,81.35,83.45,,,
2026-05-15,82.2,83.5,,,
2026-05-16,82.7,83.6,,,
2026-05-17,82.1,83.05,,,
2026-05-18,81.85,82.25,95.5,96,106
2026-05-19,81.55,82.55,,,
2026-05-20,82.15,82.05,,,
2026-05-21,81.6,82.1,,,
2026-05-22,82,83.6,,,
2026-05-23,82.5,,,,
